Alleluia	PRAETORIUS	10				Alleluia		SATB				XVI	10					0	VRAI
Alleluia (Psaume 117)	GOCAM	10				Alleluia	Z117-4	SATB				XXI	10					0	VRAI
Alleluia (Psaume 148)	GOCAM	10				Alleluia		SATB				XXI	10					0	VRAI
Alleluia (unisson)	MAWBY Colin	10				Alleluia		SATB			 	XX	10					0	VRAI
Alleluia festif	VERCRUYSSE 	10		français		Alleluia		4VM				XX	10		contrechant à la reprise			0	VRAI
Alleluia Messe de Darasse	DARASSE	10				Alleluia		SATB				XX	10					0	VRAI
Alleluia Messe de St Paul	Emmanuel	10				Alleluia		Unisson					10					0	VRAI
Alleluia Nantais	Air Nantais	10				Alleluia		SATB				XX	10		air du Regina Caeli			0	VRAI
Agneau de Dieu (Christus vincit)	DANIEL, Etienne	11				Agnus Dei		4VM					11					0	VRAI
Dieu Saint	GODARD Marcel	11				Sanctus		4VM					11					0	VRAI
Dieu Saint !  Dieu fort ! Dieu immortel !	DANIEL	11				Sanctus		VH					11					0	VRAI
Dieu Saint, dieu Fort, Dieu Immortel, Bénis soit ton nom	LECOT	11				Sanctus Lourdes		SATB				XX	11					0	VRAI
Dieu saint, Dieu fort, Dieu Immortel, prends pitié de nous	GODARD Marcel	11				Sanctus		TB				XX	11					0	VRAI
Saint est le Seigneur	LECOT	11				Sanctus		4VM					11					0	VRAI
Sanctus d'après l'air de Christus Vincit	ANONYME	11		français		Sanctus		SATB					11	art T Louppe				0	VRAI
Sanctus d'après l'air de Christus Vincit	KUNC Aloys	11		français		Sanctus		SATB					11					0	VRAI
Sanctus de LOURDES	LECOT	11				Sanctus	A 168	SATB					11					0	VRAI
Alleluia	DOURY Pierre	12		français		Alleluia		SATB			 	XX	12					0	VRAI
Alleluia 7 de Taizé en ré mineur	BERTHIER Jacques	12		français		Alleluia		SATB					12					0	VRAI
Alleluia de Taizé en ré majeur 	DAMON	12		français		Alleluia	U 25	SATB					12					0	VRAI
Alleluia Messe du Rassemblement	ORNES	12		hébreux		Alleluia		SATB+As				XX	12					0	VRAI
Alleluia O Filii et filiae	BLITSCH	12		latin	Pâques	Alleluia		SATB					12					0	VRAI
Alleluia Pascal 	LOUPPE Thibaut	12			Pâques	Alleluia		SATB					12					0	VRAI
Alleluia U45-19	LAMON	12		hébreux		Alleluia		3VM					12					0	VRAI
Alleluia.huit jours déjà	ROUCAIROL	12			Pâques	Alleluia		SATB		contre chant trompette			12					0	VRAI
Alle Jahre wieder (Alleluia letton)	ANONYME	13				Alleluia		5VM					13					0	VRAI
Alleluia	BUCHER Nicolas	13		français		Alleluia		SATB					13					0	VRAI
Alleluia	DOPF Hubert	13		français	Pâques	Alleluia		SATB					13					0	VRAI
Alleluia	LOUPPE Thibaut	13				Alleluia		Unisson					13					0	VRAI
Alleluia	REINTHALER Anton	13		hébreux		Alleluia		SSATBB					13					0	VRAI
Alleluia	RONCIN Chanoine	13		hébreux		Alleluia		Unisson					13		Err :509			0	VRAI
Alleluia Canon	ANONYME	13		français		Alleluia		3VE					13		canon			0	VRAI
Alleluia de St Augustin	ROUX Jean-Jo	13		hébreux		Alleluia		SAB					13					0	VRAI
