Dieu Saint !  Dieu fort ! Dieu immortel !	DANIEL	11				Sanctus		VH							
Dieu Saint, dieu Fort, Dieu Immortel, Bénis soit ton nom	LECOT	11				Sanctus Lourdes		SATB				XX			
Dieu saint, Dieu fort, Dieu Immortel, prends pitié de nous	GODARD Marcel	11				Sanctus		TB				XX			
Saint est le Seigneur	LECOT	11				Sanctus		4VM							
Sanctus d après l air de Christus Vincit	ANONYME	11		français		Sanctus		SATB					art T Louppe		
Sanctus d après l air de Christus Vincit	KUNC Aloys	11		français		Sanctus		SATB							
Sanctus de LOURDES	LECOT	11				Sanctus	A 168	SATB							
Alleluia	DOURY Pierre	12		français		Alleluia		SATB			 	XX			
Alleluia 7 de Taizé en ré mineur	BERTHIER Jacques	12		français		Alleluia		SATB							
Alleluia de Taizé en ré majeur 	DAMON	12		français		Alleluia	U 25	SATB							
Alleluia Messe du Rassemblement	ORNES	12		hébreux		Alleluia		SATB+As				XX			
Alleluia O Filii et filiae	BLITSCH	12		latin	Pâques	Alleluia		SATB							
Alleluia Pascal 	LOUPPE Thibaut	12			Pâques	Alleluia		SATB							
Alleluia U45-19	LAMON	12		hébreux		Alleluia		3VM							
Alleluia.huit jours déjà	ROUCAIROL	12			Pâques	Alleluia		SATB		contre chant trompette					
Alle Jahre wieder (Alleluia letton)	ANONYME	13				Alleluia		5VM							
Alleluia	BUCHER Nicolas	13		français		Alleluia		SATB							
Alleluia	DOPF Hubert	13		français	Pâques	Alleluia		SATB							
Alleluia	LOUPPE Thibaut	13		hébreu		Alleluia		Unisson							
Alleluia	REINTHALER Anton	13		hébreu		Alleluia		SSATBB							
Alleluia	RONCIN Chanoine	13		hébreu		Alleluia		Unisson						#N/D	
Alleluia Canon	ANONYME	13		français		Alleluia		3VE						canon	
Alleluia de St Augustin	ROUX Jean-Jo	13		hébreux		Alleluia		SAB							
"Alleluia letton ""Alle Jahre wieder"""	ANONYME	13		allemand		Alleluia		3VE							
Aube nouvelle	AKEPSIMAS	14		français	Avent		E 130	SATB							
Le monde ancien s en est allé	GELINEAU J.	14		français	Avent	Entrée	E 135	SATB							
Psaume de la création	RICHARD Patrick	14		français		psaume de la création		Sol+SATB							
Viens Seigneur ne tarde plus	GOUZES	14		français	Avent			SATB				XX			
Gaude Mater Polonia	ANONYME	15		latin				SATB		chant marial		XIII			
Humble servante	BERTHIER Jacques	15		français	Chant marial		V248-1	SATB							
Notre Dame Lumière	ANONYME	15		français 	Chant marial Tchèque			Unisson						D après Tece Voda Tece	
Messe en D (ré) 	DVORAK Antonin	16		latin		Kyrie et Gloria		SATB							
Agneau de Pâques, Agneau de Dieu	BERTHIER, Jacques	17		français	Pâques	Agnus Dei		SATB				XX			
Christus factus est	HAYDN Michael	17		latin	Jeudi saint	Graduel		4VM		Motet					
Kyrie , Jésus de Nazareth 	BERTHIER Jacques	17		français		Kyrie		SATB							
"Motets pour le temps de Carême:""Vinae mea electa"""	POULENC Francis	17		latin	Carême			SAATBB		Motet		XX			
Vinea mea electa 	POULENC	17		latin	Carême			SAATBB		Motet (pr le tps de Pénitence)		XX		ac. Piano	
Entre le boeuf et l âne gris	ANONYME	18		français	Noël			SS/AA				XIII		harmJ.Bouvard	
Les anges dans nos campagnes	DAMON	18		français	Noël			SATB							
Les anges dans nos campagnes	SALA	18		français	Noël			SSA							
Les anges dans nos campagnes 	NEYRAT	18		français	 Noël languedocien			SATB							
Silence,ciel	SALA André	18		français	Noël			SSA							
Die zwei Tugendwege	SCHILLER	19		allemand				TTB		Les 2 voies de la vertu					
Jacob s ladder	ANONYME	19		anglais				3VE			Negro spiritual				
La mémoire d Abraham	GOLDMAN Jean-Jacques	19		français				SATB			chant 			harmH.Dumas	
Little David	ANONYME	19		anglais/français				3VE			Negro spiritual				
Hodie Christus natus est	POULENC	20		latin	Noël			SATB							
O magnum mysterium	POULENC	20		latin	Noël			SATB							
Symphonie Nr.3	MAHLER, Gustav	21		allemand						chœur n°5 		XIX			
Alta trinita beata	ANONYME	22		latin	Trinité 			SATB				XV			
Lo ti voria contar	DE LASSUS, Orlandus	22		italien				SATB			chanson italienne				
O Père, O Tout-Puissant	GODARD Marcel	22		français	Trinité 			SATB		Extrait des Combats de dieu					
Salut, ô Reine	GODARD  Marcel	22		français		chant marial		S							
Toi,notre Dame	WACKENHEIM	22		français	Chant marial		V 153	SATB							
Très-Haut Seigneur, Trinité bienheureuse	GOUZES A.	22		français	Trinité 		SY Z 700	SATB							
Auxilium Christianorum	DELSINNE	23		latin				3VE						litanies	
Ave verum	DUPRE, Marcel	23		latin				SATB		Motet au St Sacrement					
Ave Verum grégorien	ANONYME	23	grégorien					Unisson		Motet au St Sacrement					
Ave Verum	MOZART Wolfgang Amadeus	24		latin				SATB/SSA		Motet au St Sacrement					
Ave Verum (version quatuor) k618	MOZART Wolfgang Amadeus/LECOT	24		latin				SATB		Motet au St Sacrement					
Gloria de Angelis =des Anges	ANONYME	25		latin		Gloria		U/VE/VM							
Kyrie XII (Pater Cuncta) grégorien	ANONYME	25	grégorien			Kyrie		Unisson							
Tu es Petrus	BACH Johann Sebastian	25		latin				SATB							
Ave Verum Corpus	JOSQUIN DES PRES	26		latin				SABar		Motet au St Sacrement					
Processionnal de Saint Benigne de Dijon	SAMSON Joseph	26		français				Unisson		Procession d entrée					
Ecoutez la voix des anges	MENDELSSOHN	27		français	Noël			SA							
La prière du Pâtre	BOVET Joseph	27		français				SATB			chanson française				
Amour qui nous attends	TAMIE	28		français	Avent	Tropaire	E173-1	Unisson							
Joyeuse est la terre	TAMIE	28		français	Dimanche ap.Asc	Tropaire	K146-1	Unisson							
Ijé Khérouvimy	BORTNIANSKY, Dimitrij	29		russe	Trinité			SATB							
Nynié Otpouchtchaiéchy	LIRINE	29		russe				SATB		Cantique de Siméon russe					
Snami Bog	ANONYME	29		bulgare				SATB		chant orthodoxe russe		XIX			Dieu est avec nous
Offertoire pour la fête de Ste Clothilde	FRANCK César	30		latin		Offertoire		STB				XX		orgue	
Offertoire pour les 1° dimanches du mois	FRANCK César	30		latin		Offertoire		STB				XX			
Offertoirepour les fêtes de l Assomption	FRANCK César	30		latin	Assomption	Offertoire		TB				XX			
Offertorium	BRUCKNER	30		latin		Offertoire		SATB				XIX			
Super Flumina Babylonis (psaume 136)	VAN NUFFEL	30		latin		Psaume 136		SATB						opus 25	
Domine non secundum	FRANCK Cesar	31		latin	Pénitence			STB/SATB		chant sacré		XX		orgue	
Gaude Mater	BARTOLLUCCI	32		latin	chant marial			SSA				XX		piano	
Gaudete	ANONYME	32		latin	Noël			4VM							
O Maria	BERTOLUCCI	32		latin	chant marial			Solo+1V				XX		 piano	
Ottchié nach	TCHAIKOWSKY	32		russe		Notre Père 		SATB				XIX			
Ottchié nach 	RIMSKY KORSAKOV	32		russe		Notre Père		SATB				XIX		opus 22n°7	
Lumière du monde	GODARD Marcel	33		français	Pâques		I 77-3	Unisson				XX			
Diffusa est gratia	SPERLING Oliver	34		latin		Offertoire Ps 44		SSAetSATB				XX			
Magnificat	PEETERS Flor	34		latin		Magnificat		SATB				XX		opus 108	
Surrexit pastor bonus	MENDELSSOHN	35		latin				SSAA		Motet		XIX		opus 39n°3 orgue	
Au Christ - eucharistie	BACH, Johann Sebastian	36		français		Communion		SATB				XVIII			
Beati qui habitant in domo tua	RAMEAU	36		latin				BYR et SATB		Motet au St Sacrement		XVIII			
Gloire à Dieu 	MOUSSORGSKY	36		français		Gloria		SATB				XIX			
Loué soit ton nom, vrai Dieu	GOUDIMEL	36		français	Louange			SATB				XVI			
Notre Père	RIMSKY KORSAKOV	37		français		Notre Père		SATB				XIX			
Hymne acathiste tradition slave		38		français			VP46-52	SATB		Tradition slave					
O Jesu Christe	VAN BERCHEM	38		latin	Carême			SATB				XVI			O Seigneur prends pitié de moi
Jésus sauveur, kyrie eleison	DANIEL Etienne	39		français		Kyrie		Unisson							
Ma lumière et mon salut	VILLENEUVE, Ch.	39		français		Psaume 26	ZL14-76	SATB							
Agneau de Dieu AL145	MOZART Wolfgang Amadeus	40		français		Agnus Dei		SATB							
Agneau de Dieu, conduis nos pas	TARENTE de Olivier	40		français		Agnus Dei	I 310	SATB							
Agneau de Dieu, pauvre de Dieu	AKEPSIMAS	40		français		Agnus Dei		SATB							
Agnus Dei de Pentecôte	ANONYME	40		latin	Pentecôte	Agnus Dei		SATB							
Cette parole de l écriture	LEFEBVRE Georges	40		français	Pentecôte			Unisson							
Tochter Zion, freue dich	HAENDEL	40		allemand	Avent			SATB		Hymne de l Avent		XVIII			
O Haupt voll Blut und Wunden 	MENDELSSOHN	41		allemand	Passion ch de Croix			SATB				XIX			
