Sanctus de LOURDES	LECOT Jean-Paul	11		français		Sanctus	A 168	SATB							
Alleluia 7 de Taizé en ré mineur	BERTHIER Jacques	12		français		Alleluia		SATB							
Alleluia O Filii et filiae	BLITSCH	12		latin	Pâques	Alleluia		SATB							
Alleluia de Taizé en ré majeur 	DAMON	12		français		Alleluia	U 25	SATB							
Alleluia	DOURY Pierre	12		français		Alleluia		SATB			 	XX			
Alleluia U45-19	LAMON	12		hébreux		Alleluia		3VM							
Alleluia Pascal 	LOUPPE Thibaut	12			Pâques	Alleluia		SATB							
Alleluia Messe du Rassemblement	ORNES	12		hébreux		Alleluia		SATB+As				XX			
Alleluia.huit jours déjà	ROUCAIROL	12			Pâques	Alleluia		SATB		contre chant trompette					
Alle Jahre wieder (Alleluia letton)	ANONYME	13				Alleluia		5VM							
Alleluia Canon	ANONYME	13		français		Alleluia		3VE						canon	
"Alleluia letton ""Alle Jahre wieder"""	ANONYME	13		allemand		Alleluia		3VE							
Alleluia	BUCHER Nicolas	13		français		Alleluia		SATB							
Alleluia 5	DECHA	13		français		Alleluia		SATB							
Alleluia	DOPF Hubert	13		français	Pâques	Alleluia		SATB							
Alleluia	LOUPPE Thibaut	13		hébreu		Alleluia		Unisson							
Alleluia	REINTHALER Anton	13		hébreu		Alleluia		SSATBB							
Alleluia	RONCIN Chanoine	13		hébreu		Alleluia		Unisson						#N/D	
Alleluia de St Augustin	ROUX Jean-Jo	13		hébreux		Alleluia		SAB							
Aube nouvelle	AKEPSIMAS Jo	14		français	Avent		E 130	SATB							
Le monde ancien s en est allé	GELINEAU Joseph	14		français	Avent	Entrée	E 135	SATB							
Viens Seigneur ne tarde plus	GOUZES André	14		français	Avent			SATB				XX			
Psaume de la création	RICHARD Patrick	14		français		psaume de la création		Sol+SATB							
Gaude Mater Polonia	ANONYME	15		latin		Chant marial		SATB				XIII			
Notre Dame Lumière	ANONYME	15		français 	Chant marial Tchèque			Unisson						D après Tece Voda Tece	
Humble servante	BERTHIER Jacques	15		français	Chant marial		V248-1	SATB							
Messe en D (ré) 	DVORAK Anton	16		latin		Kyrie et Gloria		SATB							
Agneau de Pâques, Agneau de Dieu	BERTHIER Jacques	17		français	Pâques	Agnus Dei		SATB				XX			
Kyrie , Jésus de Nazareth 	BERTHIER Jacques	17		français		Kyrie		SATB							
Christus factus est	HAYDN Michael	17		latin	Jeudi saint	Graduel		4VM		Motet					
"Motets pour le temps de Carême:""Vinae mea electa"""	POULENC Francis	17		latin	Carême			SAATBB		Motet		XX			
Vinea mea electa 	POULENC Francis	17		latin	Carême			SAATBB		Motet (pr le tps de Pénitence)		XX		ac. Piano	
Entre le boeuf et l âne gris	ANONYME	18		français	Noël			SS/AA				XIII		harmJ.Bouvard	
Les anges dans nos campagnes	DAMON	18		français	Noël			SATB							
Les anges dans nos campagnes 	NEYRAT	18		français	Noël languedocien			SATB							
Les anges dans nos campagnes	SALA André	18		français	Noël			SSA							
Silence,ciel	SALA André	18		français	Noël			SSA							
Jacob s ladder	ANONYME	19		anglais				3VE			Negro spiritual				
Little David	ANONYME	19		anglais/français				3VE			Negro spiritual				
La mémoire d Abraham	GOLDMAN Jean-Jacques	19		français				SATB			chant 			harmH.Dumas	
Die zwei Tugendwege	SCHILLER	19		allemand				TTB		Les 2 voies de la vertu					
Hodie Christus natus est	POULENC Francis	20		latin	Noël			SATB							
O magnum mysterium	POULENC Francis	20		latin	Noël			SATB							
Symphonie Nr.3	MAHLER Gustav	21		allemand						chœur n°5 		XIX			
Ah! Le tango Corse	VASTANO R.	21						2VE			chanson populaire				
Alta trinita beata	ANONYME	22		latin	Trinité 			SATB				XV			
O Père, O Tout-Puissant	GODARD Marcel	22		français	Trinité 			SATB		Extrait des Combats de dieu					
Salut, ô Reine	GODARD Marcel	22		français		chant marial		S							
Très-Haut Seigneur, Trinité bienheureuse	GOUZES André	22		français	Trinité 		SY Z 700	SATB							
Lo ti voria contar	LASSUS Orlando de	22		italien				SATB			chanson italienne				
Toi,notre Dame	WACKENHEIM Michel	22		français	Chant marial		V 153	SATB							
Ave Verum 	ANONYME	23	grégorien					Unisson							
Auxilium Christianorum	DELSINNE	23		latin				3VE						litanies	
Ave verum	DUPRE Marcel	23		latin		Motet St Sacrement		SATB							
Ave Verum	MOZART Wolfgang Amadeus	24		latin		Motet St Sacrement		SATB/SSA							
Ave Verum (version quatuor) k618	MOZART Wolfgang Amadeus/LECOT	24		latin		Motet St Sacrement		SATB							
Gloria de Angelis =des Anges=VIII	ANONYME	25		latin		Gloria		U/VE/VM							
Kyrie XII (Pater Cuncta) grégorien	ANONYME	25	grégorien			Kyrie		Unisson							
Messe des Anges VIII	ANONYME	25	grégorien			Messe VIII		Unisson							
Tu es Petrus	BACH Johann Sebastian	25		latin				SATB							
Ave Verum Corpus	JOSQUIN DES PRES	26		latin		Motet St Sacrement		SABar							
Processionnal de Saint Benigne de Dijon	SAMSON Joseph	26		français				Unisson		Procession d entrée					
La prière du Pâtre	BOVET Joseph	27		français				SATB			chanson française				
Ecoutez la voix des anges	MENDELSSOHN Felix	27		français	Noël			SA							
Amour qui nous attends	TAMIE	28		français	Avent	Tropaire	E173-1	Unisson							
Joyeuse est la terre	TAMIE	28		français	Dimanche ap.Asc	Tropaire	K146-1	Unisson							
Snami Bog	ANONYME	29		bulgare				SATB		chant orthodoxe russe		XIX			Dieu est avec nous
Ijé Khérouvimy	BORTNIANSKY Dimitri	29		russe	Trinité			SATB							
Nynié Otpouchtchaiéchy	LIRINE	29		russe				SATB		Cantique de Siméon russe					
Offertorium	BRUCKNER Anton	30		latin		Offertoire		SATB				XIX			
Offertoire pour la fête de Ste Clothilde	FRANCK César	30		latin		Offertoire		STB				XX		orgue	
Offertoire pour les 1° dimanches du mois	FRANCK César	30		latin		Offertoire		STB				XX			
Offertoirepour les fêtes de l Assomption	FRANCK César	30		latin	Assomption	Offertoire		TB				XX			
Super Flumina Babylonis (psaume 136)	VAN NUFFEL	30		latin		Psaume 136		SATB						opus 25	
Domine non secundum	FRANCK César	31		latin	Pénitence			STB/SATB		chant sacré		XX		orgue	
Gaudete	ANONYME	32		latin	Noël			4VM							
Gaude Mater	BARTOLUCCI Dominico	32		latin		chant marial		SSA				XX		piano	
O Maria	BERTOLUCCI	32		latin	chant marial			Solo+1V				XX		 piano	
Ottchié nach 	RIMSKY KORSAKOV Nicolai	32		russe		Notre Père		SATB				XIX		opus 22n°7	
Ottchié nach	TCHAIKOWSKY Piotr Ilitch	32		russe		Notre Père 		SATB				XIX			
Lumière du monde	GODARD Marcel	33		français	Pâques		I 77-3	Unisson				XX			
Magnificat	PEETERS Flor	34		latin		Magnificat		SATB				XX		opus 108	
Diffusa est gratia	SPERLING Oliver	34		latin		Offertoire Ps 44		SSAetSATB				XX			
Surrexit pastor bonus	MENDELSSOHN Felix	35		latin				SSAA		Motet		XIX		opus 39n°3 orgue	
Au Christ - eucharistie	BACH Johann Sebastian	36		français		Communion		SATB				XVIII			
Loué soit ton nom, vrai Dieu	GOUDIMEL	36		français	Louange			SATB				XVI			
Gloire à Dieu 	MOUSSORGSKY Modeste	36		français		Gloria		SATB				XIX			
Beati qui habitant in domo tua	RAMEAU Jean Philippe	36		latin				Bar + SATB		Motet au St Sacrement		XVIII			
Notre Père	RIMSKY KORSAKOV Nicolai	37		français		Notre Père		SATB				XIX			
Hymne acathiste tradition slave	ANONYME	38		français			VP46-52	SATB		Tradition slave					
O Jesu Christe	VAN BERCHEM	38		latin	Carême			SATB				XVI			O Seigneur prends pitié de moi
Jésus sauveur, kyrie eleison	DANIEL Etienne	39		français		Kyrie		Unisson							
Ma lumière et mon salut	VILLENEUVE Ch.	39		français		Psaume 26	ZL14-76	SATB							
Agneau de Dieu, pauvre de Dieu	AKEPSIMAS Jo	40		français		Agnus Dei		SATB							
Agnus Dei de Pentecôte	ANONYME	40		latin	Pentecôte	Agnus Dei		SATB							
Tochter Zion, freue dich	HAENDEL Georg Friedrich	40		allemand	Avent			SATB		Hymne de l Avent		XVIII			
Cette parole de l écriture	LEFEBVRE Georges	40		français	Pentecôte			Unisson							
Agneau de Dieu AL145	MOZART Wolfgang Amadeus	40		français		Agnus Dei		SATB							
Agneau de Dieu, conduis nos pas	TARENTE de Olivier	40		français		Agnus Dei	I 310	SATB							
O Haupt voll Blut und Wunden 	MENDELSSOHN Felix	41		allemand	Passion ch de Croix			SATB				XIX			
Richte mich, Gott	MENDELSSOHN Felix	41		allemand				SSAATTBB		Psaume 43		XIX		opus 78	
Was betrübst du dich	MENDELSSOHN Felix	41		allemand				SATB		Psaume 42		XIX		piano	
Je te cherche, Dieu	CHEMIN NEUF	42		français		Rassemblement		SATB				XX			
Une lumière brillera sur vous	LEBRUN E.	42		français	Avent			Unisson						piano	
Aimer, il suffit d aimer	LEFEBVRE Georges	42		français		Communion	D 600	SATB				XX			
Quel est donc ce repas	AKEPSIMAS Jo	43		français		Communion	D 228	Unisson							
Bénis soient la coupe et le pain	ANONYME	43		français		Communion		Unisson							
Le pain dans nos mains	COLOMBIER Noël	43		français		Communion	D 520	SAB							
Nous qui mangeons le pain	CRUGER J.	43		français		Communion	D 215	SATB				XVII			
Celui qui a mangé de ce pain	GODARD Marcel	43		français		Communion	D140	SATB/TBarB							
Venez vous abreuver	JONCHAY Jean Baptiste du	43		français		Communion		SATB							
C est toi, Seigneur le pain rompu	KIRBYE	43		français		Communion	D293	SATBetSA							
Vers ton autel	LEMOINE Patrick	43		français		Communion		SATB							
Toi qui ravis le coeur de Dieu	BERTHIER Jacques	44		français	chant marial		VLH 136	SATet SAB							
Vous êtes sans pareille	GELINEAU Joseph	44		français	Chant marial		V 10	SATB							
Couronnée d étoiles	L'EMMANUEL	44		français		chant marial		SATB							
Thou oh Lord	IRELAND Lisa	45		anglais				SATB		gospel pour voix d enfants					
This Little Light of Mine	LOES Harry Dixon	45		anglais				Unisson		gospel pour voix d enfants					
O nata  lux de lumine..	TALLIS	45		latin	Noël			SATTB							
"Cantate 118 ""O Jesu Christ"".."	BACH Johann Sebastian	46		allemand				SATB		Cantate 118					
Choral de la Cantate 142	BACH Johann Sebastian	46		allemand				SATB		Cantate 142					
Cantate Domino	HAENDEL Georg Friedrich	47		latin		Louange		SATBet SSA							
