Prenez la tenue de service;BERTHIER Jacques;217;français;français;Avent;;;Solo/4VM;;;;;;
Préparez le chemin du Seigneur;GELINEAU Joseph;507;;français;Avent;;E 13-95;SAB;;;;;;
"Psaume 24 ""Tu es le chemin….""";ROUCAIROL;145;;français;Avent;;;SATB;;;Psaume 24;;;
Quand le Seigneur se montrera;BERTHIER Jacques;523;;français;Avent;;E 117;Unisson/SATB;;;;;;
Quand s éveilleront nos coeurs;AKEPSIMAS Jo;432;;français;Avent;;E 160;SAB;;;;;;
Réveille ta puissance;JEF Robert;105;français;français;Avent;;E 2;SATB;;;;;;
Rorate caeli ;ANONYME  ;223;grégorien;;Avent;;;Solo/4VM;;;;;;
Seigneur, Venez, la terre est prête;RIMAUD Didier;167;;français;Avent;;E 20;Unisson;;;;;;
Tochter Zion, freue dich;HAENDEL Georg Friedrich;40;;allemand;Avent;;;SATB;;;Hymne de l Avent;;XVIII;
Toi qui viens pour tout sauver;ANONYME;86;;français;Avent;;E 68 ;SATB;;;;;;
Tu es le chemin ;ROUCAIROL;145;;français;Avent;;;SATB;;;Psaume 24;;;
Un cri retentira;DUMAS Henri;438;;français;Avent;;;SATB;;orgue;;;;
Une lumière brillera sur vous;LEBRUN E.;42;;français;Avent;;;Unisson;;piano;;;;
Veni Domine ;MENDELSSOHN Felix;66;;latin;Avent;;;SSA;;;Motet Opus39;;;
Veni Redemptor Gentium ;ANONYME;224;grégorien;;Avent;;;Unisson;;;;;;
Veni,veni, Emmanuel;ANONYME;511;;latin;Avent;;;SATB;;;;;XV;
Vienne la rosée;LALLEMENT B.;167;;français;Avent;;ELH 103;SATB;;;;;;
Viens bientôt sauveur du monde;GELINEAU Joseph;438;;français;Avent;;E 157;SABar;;;;;;
Viens pour notre attente;OMBRIE Dominique;438;;français;Avent;;E 34;SAB;;;;;;
Viens renaître en nous;GELINEAU Joseph;432;;français;Avent;;E 183;STB;;;;chanson contemporaine;;
Viens Seigneur étancher notre soif;LOUPPE Thibaut;186;;français;Avent;;;S+SATB;;;;;;
Viens Seigneur étancher notre soif;PROPHETTE M.;186;;français;Avent;;E 83;S+SATB;;;;;;
Viens Seigneur ne tarde plus;GOUZES André;14;;français;Avent;;;SATB;;;;;XX;
Voici venir les temps;BERTHIER Jacques;272;;français;Avent;;E 245-1;SATB;;;;;;
Vous attendiez la promesse;ANONYME;432;;français;Avent;;E 25;SATB;;;;;;
Ad te levavi animam meam ;ANONYME;223;grégorien;;Avent 1°dimanche;Introït;;Unisson;;;;;;
Tropaire pour le 1er dimanche de l Avent;DUMAS Henri;111;;français;Avent 1er dim;;;SAB;;;;;;
Dieu s approchait;VINCENT Jean-Marie;138;;français;Avent Carême;;;Unisson;;;;;;
Messe pour les dimanches d  Avent et de Carème;SAMSON Joseph;499;;latin;Avent Carême;Messe;;S+SATB;;;;;;
Messe pour les temps violets;GODARD Marcel;410;;français;Avent Carême;Messe;;SATB;;;;;;
Venez divin Messie;NEYRAT;351;;français;Avent Noël;;E 9;SATB;;O70;Noël;;;
Venez divin Messie;BOLLER Carlo;351;;français;Avent Noël;;;SSA;;;;;;
Venez divin Messie;LAMBERT Abbé;351;;français;Avent Noël;;;SATB;;;;;;
