"Alleluia"	"MAWBY Colin/de Maucourt"	10		"français"		"Alleluia"		"SA"					"XX"			
"Alleluia"	"PRAETORIUS M."	10		"français"		"Alleluia"		"SATB"					"XVI"			
"Alleluia "	"GOCAM"	10		"français"		"Alleluia ps148"		"SATB"					"XXI"			
"Alleluia "	"MAWBY Colin"	10		"français"		"Alleluia"		"SATB"				" "	"XX"			
"Alleluia festif"	"VERCRUYSSE Odette"	10		"français"		"Alleluia"		"SATB"		"orgue"			"XX"		"contrechant à la reprise"	
"Alleluia Messe de Darasse"	"DARASSE"	10		"français"		"Alleluia"		"SATB"					"XX"			
"Alleluia Messe de St Paul"	"L'EMMANUEL"	10		"français"		"Alleluia"		"Unisson"								
"Alleluia Nantais"	"ANONYME"	10		"français"		"Alleluia"		"SATB"					"XX"		"air du Regina Caeli"	
"Dieu Saint !  Dieu fort ! Dieu immortel !"	"DANIEL Etienne"	11		"français"		"Sanctus"		"VH"								
"Dieu Saint, dieu Fort, Dieu Immortel, Bénis soit ton nom"	"LECOT Jean-Paul"	11		"français"		"Sanctus Lourdes"		"SATB"					"XX"			
"Dieu saint, Dieu fort, Dieu Immortel, prends pitié de nous"	"GODARD Marcel"	11		"français"		"Kyrie"		"TB"					"XX"			
"Sanctus "	"DUMAS Henri"	11		"français"		"Sanctus"		"SATB"								
"Sanctus d après l air de Christus Vincit"	"KUNC Aloys"	11		"français"		"Sanctus"		"SATB/SAB"								
"Sanctus de LOURDES"	"LECOT Jean-Paul"	11		"français"		"Sanctus"	"A 168"	"SATB"								
"Alleluia"	"DOURY Pierre"	12		"français"		"Alleluia"		"SATB"				" "	"XX"			
"Alleluia 7 de Taizé en ré mineur"	"BERTHIER Jacques"	12		"français"		"Alleluia"		"SATB"								
"Alleluia de Taizé en ré majeur "	"DAMON"	12		"français"		"Alleluia"	"U 25"	"SATB"								
"Alleluia Messe du Rassemblement"	"ORNES"	12		"hébreux"		"Alleluia"		"SATB+AS"					"XX"			
